Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Meta Platforms Inc,META,Sell,Filled,449,449,@715.5600000000,715.5600000000,GTC,01/30/2026 11:55:50 EST,01/30/2026 12:08:51 EST
SPDR® Gold Shares,GLD,Buy,Filled,100,100,@446.4448000000,446.4448000000,DAY,01/21/2026 10:13:26 EST,01/21/2026 10:13:27 EST
SPDR® Gold MiniShares,GLDM,Sell,Filled,400,400,@96.1103000000,96.1103000000,DAY,01/21/2026 10:12:56 EST,01/21/2026 10:12:56 EST
SPDR® Gold MiniShares,GLDM,Buy,Filled,300,300,@93.7500000000,93.7500000000,DAY,01/20/2026 10:20:07 EST,01/20/2026 10:20:07 EST
SPDR® Gold MiniShares,GLDM,Buy,Filled,50,50,@87.9000000000,87.9000000000,DAY,01/05/2026 15:41:48 EST,01/05/2026 15:49:17 EST
SPDR® Gold MiniShares,GLDM,Buy,Filled,50,50,@85.6500000000,85.6500000000,DAY,01/02/2026 15:37:39 EST,01/02/2026 15:37:55 EST
SPDR® Gold Shares,GLD,Buy,Cancelled,0,50,@395.00,,DAY,12/31/2025 12:26:28 EST,
Trump Media & Technology,DJT,Sell,Filled,3700,3700,@17.1600000000,17.1600000000,GTC,08/26/2025 11:28:14 EDT,09/02/2025 10:00:38 EDT
Trump Media & Technology,DJT,Sell,Cancelled,0,3700,@18.00,,DAY,08/25/2025 11:48:09 EDT,
Opendoor Technologies Inc,OPEN,Buy,Cancelled,0,2000,@4.78,,DAY,07/21/2025 14:18:03 EDT,
