Symbol,Expiry,Type,LowerStrike,HigherStrike,NeedPriceAt
DJT,2025-08-29,put,19,24,2025-08-29
DJT,2025-07-25,call,18,20,2025-07-25
DJT,2025-06-27,call,17.5,18,2025-06-27
DJT,2025-07-18,put,19,24,2025-07-18
SOFI,2025-02-21,put,13,16,2025-02-21
VIX,2026-05-19,put,13,18,2026-05-19
VIX,2025-07-16,put,31,32,2025-07-16
VIX,2025-04-16,call,17,24,2025-04-16
VIXW,2026-03-03,call,19,20,2026-03-03
VIXW,2025-07-23,call,18,19,2025-07-23
VIXW,2025-07-23,put,14.5,18,2025-07-23
VIXW,2025-07-23,put,20,25,2025-07-23
VIXW,2025-06-03,put,19,20,2025-06-03
VIXW,2025-04-23,call,23,24,2025-04-23
SPXW,2025-10-24,call,6675,6680,2025-10-24
SPXW,2025-04-14,put,5420,5425,2025-04-14
SPXW,2025-04-11,call,5240,5250,2025-04-11
SPXW,2025-04-10,call,5285,5290,2025-04-10
SPXW,2025-02-18,call,6110,6115,2025-02-18
SPXW,2025-02-18,put,6120,6130,2025-02-18
GLD,2026-03-20,put,452,457,2026-03-20
