Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
ADBE Vertical,,Buy,Filled,1,1,@2.3600000000,2.3600000000,DAY,03/13/2026 15:59:18 EDT,03/13/2026 15:59:18 EDT
,ADBE260417P00250000,Buy,Filled,1,1,@12.04,12.04,DAY,03/13/2026 15:59:18 EDT,03/13/2026 15:59:18 EDT
,ADBE260417P00245000,Sell,Filled,1,1,@9.68,9.68,DAY,03/13/2026 15:59:18 EDT,03/13/2026 15:59:18 EDT
ADBE Straddle,,Sell,Filled,1,1,@5.2700000000,5.2700000000,DAY,03/13/2026 15:58:57 EDT,03/13/2026 15:58:57 EDT
,ADBE260313C00255000,Sell,Filled,1,1,@0.050,0.050,DAY,03/13/2026 15:58:57 EDT,03/13/2026 15:58:57 EDT
,ADBE260313P00255000,Sell,Filled,1,1,@5.22,5.22,DAY,03/13/2026 15:58:57 EDT,03/13/2026 15:58:57 EDT
PYPL Straddle,,Buy,Filled,4,4,@5.3300000000,5.3300000000,DAY,03/13/2026 15:58:19 EDT,03/13/2026 15:58:19 EDT
,PYPL260417C00042500,Buy,Filled,4,4,@4.01,4.01,DAY,03/13/2026 15:58:19 EDT,03/13/2026 15:58:19 EDT
,PYPL260417P00042500,Buy,Filled,4,4,@1.32,1.32,DAY,03/13/2026 15:58:19 EDT,03/13/2026 15:58:19 EDT
GLD Vertical,,Buy,Filled,65,65,@0.4000000000,0.4000000000,DAY,03/13/2026 14:25:46 EDT,03/13/2026 14:25:58 EDT
,GLD260320P00460000,Buy,Filled,65,65,@6.12,6.12,DAY,03/13/2026 14:25:46 EDT,03/13/2026 14:25:58 EDT
,GLD260320P00459000,Sell,Filled,65,65,@5.72,5.72,DAY,03/13/2026 14:25:46 EDT,03/13/2026 14:25:58 EDT
GLD Vertical,,Sell,Filled,50,50,@0.3200000000,0.3200000000,DAY,03/13/2026 13:39:19 EDT,03/13/2026 13:39:34 EDT
,GLD260320P00460000,Sell,Filled,50,50,@5.05,5.05,DAY,03/13/2026 13:39:19 EDT,03/13/2026 13:39:34 EDT
,GLD260320P00459000,Buy,Filled,50,50,@4.73,4.73,DAY,03/13/2026 13:39:19 EDT,03/13/2026 13:39:34 EDT
GLD Vertical,,Sell,Filled,15,15,@0.3300000000,0.3300000000,DAY,03/13/2026 13:24:02 EDT,03/13/2026 13:24:17 EDT
,GLD260320P00460000,Sell,Filled,15,15,@5.22,5.22,DAY,03/13/2026 13:24:02 EDT,03/13/2026 13:24:17 EDT
,GLD260320P00459000,Buy,Filled,15,15,@4.89,4.89,DAY,03/13/2026 13:24:02 EDT,03/13/2026 13:24:17 EDT
GLD Vertical,,Sell,Cancelled,0,15,@0.350,0.0000000000,DAY,03/13/2026 13:18:45 EDT,
,GLD260320P00460000,Sell,Cancelled,0,15,,0.000,DAY,03/13/2026 13:18:45 EDT,
,GLD260320P00459000,Buy,Cancelled,0,15,,0.000,DAY,03/13/2026 13:18:45 EDT,
ADBE Straddle,,Buy,Filled,1,1,@3.1500000000,3.1500000000,DAY,03/13/2026 12:41:49 EDT,03/13/2026 12:42:20 EDT
,ADBE260313C00255000,Buy,Filled,1,1,@1.34,1.34,DAY,03/13/2026 12:41:49 EDT,03/13/2026 12:42:20 EDT
,ADBE260313P00255000,Buy,Filled,1,1,@1.81,1.81,DAY,03/13/2026 12:41:49 EDT,03/13/2026 12:42:20 EDT
PYPL Straddle,,Buy,Filled,1,1,@5.2000000000,5.2000000000,DAY,03/13/2026 12:39:42 EDT,03/13/2026 12:39:42 EDT
,PYPL260417C00042500,Buy,Filled,1,1,@3.84,3.84,DAY,03/13/2026 12:39:42 EDT,03/13/2026 12:39:42 EDT
,PYPL260417P00042500,Buy,Filled,1,1,@1.36,1.36,DAY,03/13/2026 12:39:42 EDT,03/13/2026 12:39:42 EDT
GLD Vertical,,Buy,Filled,1,1,@1.4300000000,1.4300000000,DAY,03/13/2026 12:01:02 EDT,03/13/2026 12:01:03 EDT
,GLD260320P00457000,Buy,Filled,1,1,@5.37,5.37,DAY,03/13/2026 12:01:02 EDT,03/13/2026 12:01:03 EDT
,GLD260320P00452000,Sell,Filled,1,1,@3.94,3.94,DAY,03/13/2026 12:01:02 EDT,03/13/2026 12:01:03 EDT
SPXW Vertical,,Buy,Filled,425,425,@0.1000000000,0.1000000000,GTC,03/11/2026 20:22:53 EDT,03/13/2026 15:55:09 EDT
,SPXW260318C06945000,Buy,Filled,425,425,@0.430,0.430,GTC,03/11/2026 20:22:53 EDT,03/13/2026 15:55:09 EDT
,SPXW260318C06950000,Sell,Filled,425,425,@0.330,0.330,GTC,03/11/2026 20:22:53 EDT,03/13/2026 15:55:09 EDT
SPXW Vertical,,Sell,Filled,200,200,@0.9000000000,0.9000000000,DAY,03/11/2026 15:52:04 EDT,03/11/2026 15:52:59 EDT
,SPXW260318C06945000,Sell,Filled,200,200,@8.10,8.10,DAY,03/11/2026 15:52:04 EDT,03/11/2026 15:52:59 EDT
,SPXW260318C06950000,Buy,Filled,200,200,@7.20,7.20,DAY,03/11/2026 15:52:04 EDT,03/11/2026 15:52:59 EDT
GLD Vertical,,Sell,Cancelled,0,200,@0.080,0.0000000000,DAY,03/11/2026 11:58:04 EDT,
,GLD260313C00489000,Sell,Cancelled,0,200,,0.000,DAY,03/11/2026 11:58:04 EDT,
,GLD260313C00490000,Buy,Cancelled,0,200,,0.000,DAY,03/11/2026 11:58:04 EDT,
FSLY Strangle,,Buy,Filled,1,1,@2.5000000000,2.5000000000,DAY,03/11/2026 11:03:43 EDT,03/11/2026 11:03:44 EDT
,FSLY260320C00025000,Buy,Filled,1,1,@1.35,1.35,DAY,03/11/2026 11:03:43 EDT,03/11/2026 11:03:44 EDT
,FSLY260320P00024500,Buy,Filled,1,1,@1.15,1.15,DAY,03/11/2026 11:03:43 EDT,03/11/2026 11:03:44 EDT
SPXW Vertical,,Sell,Filled,100,100,@1.0000000000,1.0000000000,DAY,03/11/2026 10:42:10 EDT,03/11/2026 10:42:22 EDT
,SPXW260318C06945000,Sell,Filled,100,100,@10.45,10.45,DAY,03/11/2026 10:42:10 EDT,03/11/2026 10:42:22 EDT
,SPXW260318C06950000,Buy,Filled,100,100,@9.45,9.45,DAY,03/11/2026 10:42:10 EDT,03/11/2026 10:42:22 EDT
SPXW Vertical,,Buy,Cancelled,0,25,@0.500,0.0000000000,DAY,03/10/2026 15:53:41 EDT,
,SPXW260318C06945000,Buy,Cancelled,0,25,,0.000,DAY,03/10/2026 15:53:41 EDT,
,SPXW260318C06950000,Sell,Cancelled,0,25,,0.000,DAY,03/10/2026 15:53:41 EDT,
SPXW Vertical,,Sell,Filled,100,100,@1.4000000000,1.4000000000,DAY,03/10/2026 15:39:54 EDT,03/10/2026 16:00:00 EDT
,SPXW260318C06945000,Sell,Filled,100,100,@15.87,15.87,DAY,03/10/2026 15:39:54 EDT,03/10/2026 16:00:00 EDT
,SPXW260318C06950000,Buy,Filled,100,100,@14.47,14.47,DAY,03/10/2026 15:39:54 EDT,03/10/2026 16:00:00 EDT
SPXW Vertical,,Sell,Cancelled,0,100,@1.50,0.0000000000,DAY,03/10/2026 14:46:48 EDT,
,SPXW260318C06945000,Sell,Cancelled,0,100,,0.000,DAY,03/10/2026 14:46:48 EDT,
,SPXW260318C06950000,Buy,Cancelled,0,100,,0.000,DAY,03/10/2026 14:46:48 EDT,
SPXW Vertical,,Buy,Cancelled,0,25,@0.800,0.0000000000,DAY,03/10/2026 14:19:26 EDT,
,SPXW260318C06945000,Buy,Cancelled,0,25,,0.000,DAY,03/10/2026 14:19:26 EDT,
,SPXW260318C06950000,Sell,Cancelled,0,25,,0.000,DAY,03/10/2026 14:19:26 EDT,
SPXW Vertical,,Buy,Cancelled,0,25,@1.60,0.0000000000,DAY,03/10/2026 12:08:08 EDT,
,SPXW260318C06945000,Buy,Cancelled,0,25,,0.000,DAY,03/10/2026 12:08:08 EDT,
,SPXW260318C06950000,Sell,Cancelled,0,25,,0.000,DAY,03/10/2026 12:08:08 EDT,
SPXW Vertical,,Sell,Filled,20,20,@1.6000000000,1.6000000000,DAY,03/10/2026 11:16:40 EDT,03/10/2026 11:17:08 EDT
,SPXW260318C06945000,Sell,Filled,20,20,@20.49,20.49,DAY,03/10/2026 11:16:40 EDT,03/10/2026 11:17:08 EDT
,SPXW260318C06950000,Buy,Filled,20,20,@18.89,18.89,DAY,03/10/2026 11:16:40 EDT,03/10/2026 11:17:08 EDT
SPXW Vertical,,Sell,Filled,5,5,@1.6000000000,1.6000000000,DAY,03/10/2026 11:01:35 EDT,03/10/2026 11:01:35 EDT
,SPXW260318C06945000,Sell,Filled,5,5,@20.67,20.67,DAY,03/10/2026 11:01:35 EDT,03/10/2026 11:01:35 EDT
,SPXW260318C06950000,Buy,Filled,5,5,@19.07,19.07,DAY,03/10/2026 11:01:35 EDT,03/10/2026 11:01:35 EDT
GLD Vertical,,Buy,Filled,116,116,@1.2300000000,1.2300000000,GTC,03/09/2026 22:57:37 EDT,03/12/2026 15:17:14 EDT
,GLD260320P00457000,Buy,Filled,116,116,@4.28,4.28,GTC,03/09/2026 22:57:37 EDT,03/12/2026 15:17:14 EDT
,GLD260320P00452000,Sell,Filled,116,116,@3.05,3.05,GTC,03/09/2026 22:57:37 EDT,03/12/2026 15:17:14 EDT
GLD Vertical,,Buy,Filled,300,300,@0.2000000000,0.2000000000,GTC,03/09/2026 15:27:39 EDT,03/09/2026 15:27:39 EDT
,GLD260327P00439000,Buy,Filled,300,300,@3.18,3.18,GTC,03/09/2026 15:27:39 EDT,03/09/2026 15:27:39 EDT
,GLD260327P00438000,Sell,Filled,300,300,@2.98,2.98,GTC,03/09/2026 15:27:39 EDT,03/09/2026 15:27:39 EDT
GLD Vertical,,Sell,Filled,100,100,@0.1400000000,0.1400000000,DAY,03/09/2026 12:11:07 EDT,03/09/2026 12:11:24 EDT
,GLD260327P00439000,Sell,Filled,100,100,@3.48,3.48,DAY,03/09/2026 12:11:07 EDT,03/09/2026 12:11:24 EDT
,GLD260327P00438000,Buy,Filled,100,100,@3.34,3.34,DAY,03/09/2026 12:11:07 EDT,03/09/2026 12:11:24 EDT
GLD Vertical,,Sell,Filled,100,100,@0.1400000000,0.1400000000,DAY,03/09/2026 12:10:42 EDT,03/09/2026 12:10:42 EDT
,GLD260327P00439000,Sell,Filled,100,100,@3.48,3.48,DAY,03/09/2026 12:10:42 EDT,03/09/2026 12:10:42 EDT
,GLD260327P00438000,Buy,Filled,100,100,@3.34,3.34,DAY,03/09/2026 12:10:42 EDT,03/09/2026 12:10:42 EDT
GLD Vertical,,Sell,Filled,100,100,@0.1600000000,0.1600000000,DAY,03/09/2026 11:18:32 EDT,03/09/2026 11:19:05 EDT
,GLD260327P00439000,Sell,Filled,100,100,@3.80,3.80,DAY,03/09/2026 11:18:32 EDT,03/09/2026 11:19:05 EDT
,GLD260327P00438000,Buy,Filled,100,100,@3.64,3.64,DAY,03/09/2026 11:18:32 EDT,03/09/2026 11:19:05 EDT
GLD260309P00466000,GLD260309P00466000,Buy,Filled,4,4,@0.8400000000,0.8400000000,GTC,03/09/2026 00:58:55 EDT,03/09/2026 10:40:43 EDT
